start_id,end_id,start_labels,rel_type,end_labels
45,85,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,88,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,92,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,97,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,98,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,107,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,108,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,116,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
45,118,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
54,48,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
54,51,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
54,52,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
54,53,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
54,56,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
54,57,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
54,58,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
54,59,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
54,91,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
55,52,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
67,65,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
67,66,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
67,73,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
67,74,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
67,80,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
67,81,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
67,87,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
67,96,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
67,102,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
67,103,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
67,105,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
67,112,GiangVien,LA_TAC_GIA_CUA,CongTrinhNghienCuu
